Quiz titles in app order (deterministic shuffle with seed 42):
============================================================

  1. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Ligue 1) (Palier 1, Position 1, Difficulté 1)
268. TOP 10 des buteurs de Real Madrid entre 2005-2010 (Palier 54, Position 3, Difficulté 3)
269. TOP 10 des passeurs de Barcelona entre 2010-2015 (Palier 54, Position 4, Difficulté 3)
270. TOP 10 des buteurs de Liverpool entre 2005-2010 (Palier 54, Position 5, Difficulté 3)
271. TOP 10 des buteurs de Juventus entre 2015-2020 (Palier 55, Position 1, Difficulté 3)
272. TOP 10 des passeurs de Serie A entre 2015-2020 (Palier 55, Position 2, Difficulté 3)
273. TOP 10 des buteurs de Napoli entre 2015-2020 (Palier 55, Position 3, Difficulté 3)
274. TOP 10 des passeurs de Chelsea entre 2005-2010 (Palier 55, Position 4, Difficulté 3)
275. TOP 10 des passeurs de Arsenal entre 2005-2010 (Palier 55, Position 5, Difficulté 3)
276. TOP 10 des buteurs de Liga entre 2010-2015 (Palier 56, Position 1, Difficulté 3)
277. TOP 10 des buteurs de Dortmund entre 2015-2020 (Palier 56, Position 2, Difficulté 3)
278. TOP 10 des passeurs de Leipzig entre 2015-2020 (Palier 56, Position 3, Difficulté 3)
279. TOP 10 des joueurs avec le plus de minutes de Liverpool entre 2020-2024 (Palier 56, Position 4, Difficulté 3)
280. TOP 10 des buteurs de Bayern Munich entre 2005-2010 (Palier 56, Position 5, Difficulté 3)
281. TOP 10 des buteurs de Real Madrid entre 2010-2015 (Palier 57, Position 1, Difficulté 3)
282. TOP 10 des joueurs avec le plus de minutes de Chelsea entre 2020-2024 (Palier 57, Position 2, Difficulté 3)
283. TOP 10 des buteurs de Bayern Munich entre 2010-2015 (Palier 57, Position 3, Difficulté 3)
284. TOP 10 des passeurs de Bundesliga entre 2015-2020 (Palier 57, Position 4, Difficulté 3)
285. TOP 10 des buteurs de PSG entre 2005-2010 (Palier 57, Position 5, Difficulté 3)
286. TOP 10 des passeurs de Liga entre 2010-2015 (Palier 58, Position 1, Difficulté 3)
287. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Bundesliga entre 2020-2024 (Palier 58, Position 2, Difficulté 3)
288. TOP 10 des buteurs de Chelsea entre 2010-2015 (Palier 58, Position 3, Difficulté 3)
289. TOP 10 des passeurs de Serie A entre 2018 (Palier 58, Position 4, Difficulté 3)
290. TOP 10 des milieux de terrain avec le plus de passes décisives de Liga entre 2015-2020 (Palier 58, Position 5, Difficulté 3)
291. TOP 10 des passeurs de Bundesliga entre 2018 (Palier 59, Position 1, Difficulté 3)
292. TOP 10 des joueurs avec le plus de minutes de Liverpool entre 2015-2020 (Palier 59, Position 2, Difficulté 3)
293. TOP 10 des joueurs avec le plus de minutes de PSG entre 2020-2024 (Palier 59, Position 3, Difficulté 3)
294. TOP 10 des buteurs de Arsenal entre 2005-2010 (Palier 59, Position 4, Difficulté 3)
295. TOP 10 des passeurs de Ligue 1 entre 2015-2020 (Palier 59, Position 5, Difficulté 3)
296. TOP 10 des buteurs de Leverkusen entre 2015-2020 (Palier 60, Position 1, Difficulté 3)
297. TOP 10 des passeurs de Atletico Madrid entre 2015-2020 (Palier 60, Position 2, Difficulté 3)
298. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Bundesliga entre 2015-2020 (Palier 60, Position 3, Difficulté 3)
299. TOP 10 des buteurs de Man Utd entre 2005-2010 (Palier 60, Position 4, Difficulté 3)
300. TOP 10 des passeurs de Dortmund entre 2015-2020 (Palier 60, Position 5, Difficulté 3)
301. TOP 10 des joueurs avec le plus de minutes de Inter Milan entre 2020-2024 (Palier 61, Position 1, Difficulté 3)
302. TOP 10 des passeurs de Bundesliga entre 2019 (Palier 61, Position 2, Difficulté 3)
303. TOP 10 des joueurs avec le plus de minutes de PSG entre 2015-2020 (Palier 61, Position 3, Difficulté 3)
304. TOP 10 des buteurs de Serie A en 2019 (Palier 61, Position 4, Difficulté 3)
305. TOP 10 des buteurs de Man City entre 2010-2015 (Palier 61, Position 5, Difficulté 3)
306. TOP 10 des passeurs de Chelsea entre 2010-2015 (Palier 62, Position 1, Difficulté 3)
307. TOP 10 des buteurs de Arsenal entre 2010-2015 (Palier 62, Position 2, Difficulté 3)
308. TOP 10 des buteurs de Ligue 1 en 2019 (Palier 62, Position 3, Difficulté 3)
309. TOP 10 des joueurs avec le plus de minutes de Arsenal entre 2015-2020 (Palier 62, Position 4, Difficulté 3)
310. TOP 10 des buteurs de Liverpool entre 2010-2015 (Palier 62, Position 5, Difficulté 3)
311. TOP 10 des joueurs avec le plus de minutes de Inter Milan entre 2015-2020 (Palier 63, Position 1, Difficulté 3)
312. TOP 10 des joueurs avec le plus de minutes de Real Madrid entre 2020-2024 (Palier 63, Position 2, Difficulté 3)
313. TOP 10 des joueurs avec le plus de minutes de Bayern Munich entre 2015-2020 (Palier 63, Position 3, Difficulté 3)
314. TOP 10 des passeurs de Inter Milan entre 2010-2015 (Palier 63, Position 4, Difficulté 3)
315. TOP 10 des passeurs de Juventus entre 2015-2020 (Palier 63, Position 5, Difficulté 3)
316. TOP 10 des buteurs de la Euro 2012 (Palier 64, Position 1, Difficulté 3)
317. TOP 10 des passeurs de Serie A entre 2019 (Palier 64, Position 2, Difficulté 3)
318. TOP 10 des passeurs de Liverpool entre 2010-2015 (Palier 64, Position 3, Difficulté 3)
319. TOP 10 des buteurs de Lazio entre 2015-2020 (Palier 64, Position 4, Difficulté 3)
320. TOP 10 des passeurs de Man Utd entre 2005-2010 (Palier 64, Position 5, Difficulté 3)
321. TOP 10 des buteurs de Man City entre 2005-2010 (Palier 65, Position 1, Difficulté 3)
322. TOP 10 des buteurs de Barcelona entre 2005-2010 (Palier 65, Position 2, Difficulté 3)
323. TOP 10 des passeurs de Bayern Munich entre 2005-2010 (Palier 65, Position 3, Difficulté 3)
324. TOP 10 des passeurs de Premier League entre 2005-2010 (Palier 65, Position 4, Difficulté 3)
325. TOP 10 des passeurs de Ligue 1 entre 2018 (Palier 65, Position 5, Difficulté 3)
326. TOP 10 des buteurs de la Coupe du Monde 2010 (Palier 66, Position 1, Difficulté 3)
327. TOP 10 des passeurs de Man City entre 2010-2015 (Palier 66, Position 2, Difficulté 3)
328. TOP 10 des buteurs de la CAN 2019 (Palier 66, Position 3, Difficulté 3)
329. TOP 10 du Ballon d'Or 2010 (Palier 66, Position 4, Difficulté 3)
330. TOP 10 des buteurs de Liga entre 2005-2010 (Palier 66, Position 5, Difficulté 3)
331. TOP 10 des joueurs avec le plus de minutes de Arsenal entre 2020-2024 (Palier 67, Position 1, Difficulté 3)
332. TOP 10 des joueurs avec le plus de minutes de Real Madrid entre 2015-2020 (Palier 67, Position 2, Difficulté 3)
333. TOP 10 des passeurs de Real Madrid entre 2005-2010 (Palier 67, Position 3, Difficulté 3)
334. TOP 10 des joueurs avec le plus de minutes de Man City entre 2020-2024 (Palier 67, Position 4, Difficulté 3)
335. TOP 10 des passeurs de Ligue 1 entre 2019 (Palier 67, Position 5, Difficulté 3)
336. TOP 10 des milieux de terrain avec le plus de passes décisives de Serie A entre 2020-2024 (Palier 68, Position 1, Difficulté 3)
337. TOP 10 des passeurs de Aston Villa entre 2015-2020 (Palier 68, Position 2, Difficulté 3)
338. TOP 10 des passeurs de Arsenal entre 2010-2015 (Palier 68, Position 3, Difficulté 3)
339. TOP 10 des buteurs de Bundesliga en 2019 (Palier 68, Position 4, Difficulté 3)
340. TOP 10 des milieux de terrain avec le plus de passes décisives de Bundesliga entre 2020-2024 (Palier 68, Position 5, Difficulté 3)
341. TOP 10 des buteurs de Barcelona entre 2010-2015 (Palier 69, Position 1, Difficulté 3)
342. TOP 10 des buteurs de Serie A en 2018 (Palier 69, Position 2, Difficulté 3)
343. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Ligue 1 entre 2020-2024 (Palier 69, Position 3, Difficulté 3)
344. TOP 10 des buteurs de Premier League entre 2010-2015 (Palier 69, Position 4, Difficulté 3)
345. TOP 10 des joueurs avec le plus de minutes de Barcelona entre 2020-2024 (Palier 69, Position 5, Difficulté 3)
346. TOP 10 des buteurs de Milan entre 2015-2020 (Palier 70, Position 1, Difficulté 3)
347. TOP 10 des joueurs avec le plus de minutes de Bayern Munich entre 2020-2024 (Palier 70, Position 2, Difficulté 3)
348. TOP 10 des passeurs de Lazio entre 2015-2020 (Palier 70, Position 3, Difficulté 3)
349. TOP 10 des buteurs de PSG entre 2010-2015 (Palier 70, Position 4, Difficulté 3)
350. TOP 10 des milieux de terrain avec le plus de passes décisives de Premier League entre 2015-2020 (Palier 70, Position 5, Difficulté 3)
351. TOP 10 des buteurs de Atletico Madrid entre 2015-2020 (Palier 71, Position 1, Difficulté 3)
352. TOP 10 des buteurs de Inter Milan entre 2005-2010 (Palier 71, Position 2, Difficulté 3)
353. TOP 10 des passeurs de Napoli entre 2015-2020 (Palier 71, Position 3, Difficulté 3)
354. TOP 10 des passeurs de Leverkusen entre 2015-2020 (Palier 71, Position 4, Difficulté 3)
355. TOP 10 des milieux de terrain avec le plus de passes décisives de Ligue 1 entre 2020-2024 (Palier 71, Position 5, Difficulté 3)
356. TOP 10 des buteurs de Ligue 1 entre 2015-2020 (Palier 72, Position 1, Difficulté 3)
357. TOP 10 des passeurs de Bayern Munich entre 2010-2015 (Palier 72, Position 2, Difficulté 3)
358. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Ligue 1 entre 2015-2020 (Palier 72, Position 3, Difficulté 3)
359. TOP 10 des buteurs de Aston Villa entre 2015-2020 (Palier 72, Position 4, Difficulté 3)
360. TOP 10 des passeurs de Liverpool entre 2005-2010 (Palier 72, Position 5, Difficulté 3)
361. TOP 10 des buteurs de Man Utd entre 2010-2015 (Palier 73, Position 1, Difficulté 3)
362. TOP 10 des buteurs de Serie A entre 2015-2020 (Palier 73, Position 2, Difficulté 3)
363. TOP 10 des buteurs de Villarreal entre 2015-2020 (Palier 73, Position 3, Difficulté 3)
364. TOP 10 des passeurs de Man City entre 2005-2010 (Palier 73, Position 4, Difficulté 3)
365. TOP 10 des buteurs de Bundesliga en 2018 (Palier 73, Position 5, Difficulté 3)
366. TOP 10 des passeurs de PSG entre 2005-2010 (Palier 74, Position 1, Difficulté 3)
367. TOP 10 des passeurs de Milan entre 2015-2020 (Palier 74, Position 2, Difficulté 3)
368. TOP 10 des passeurs de Villarreal entre 2015-2020 (Palier 74, Position 3, Difficulté 3)
369. TOP 10 des passeurs de Liga entre 2005-2010 (Palier 74, Position 4, Difficulté 3)
370. TOP 10 des joueurs avec le plus de minutes de Chelsea entre 2015-2020 (Palier 74, Position 5, Difficulté 3)
371. TOP 10 des passeurs de Barcelona entre 2005-2010 (Palier 75, Position 1, Difficulté 3)
372. TOP 10 des passeurs de Man Utd entre 2010-2015 (Palier 75, Position 2, Difficulté 3)
373. TOP 10 des buteurs de Leipzig entre 2015-2020 (Palier 75, Position 3, Difficulté 3)
374. TOP 10 des joueurs avec le plus de minutes de Atletico Madrid entre 2015-2020 (Palier 75, Position 4, Difficulté 4)
375. TOP 10 des passeurs de Juventus entre 2005-2010 (Palier 75, Position 5, Difficulté 4)
376. TOP 10 des passeurs de Aston Villa entre 2005-2010 (Palier 76, Position 1, Difficulté 4)
377. TOP 10 des buteurs de Napoli entre 2010-2015 (Palier 76, Position 2, Difficulté 4)
378. TOP 10 des buteurs de Serie A entre 2010-2015 (Palier 76, Position 3, Difficulté 4)
379. TOP 10 des passeurs de Leverkusen entre 2005-2010 (Palier 76, Position 4, Difficulté 4)
380. TOP 10 des joueurs avec le plus de minutes de Aston Villa entre 2020-2024 (Palier 76, Position 5, Difficulté 4)
381. TOP 10 des joueurs avec le plus de minutes de Leipzig entre 2020-2024 (Palier 77, Position 1, Difficulté 4)
382. TOP 10 des joueurs avec le plus de minutes de Roma entre 2020-2024 (Palier 77, Position 2, Difficulté 4)
383. TOP 10 des passeurs de Bundesliga entre 2010-2015 (Palier 77, Position 3, Difficulté 4)
384. TOP 10 du Ballon d'Or 2004 (Palier 77, Position 4, Difficulté 4)
385. TOP 10 des joueurs avec le plus de minutes de Leverkusen entre 2020-2024 (Palier 77, Position 5, Difficulté 4)
386. TOP 10 des buteurs de la Copa América 2016 (Palier 78, Position 1, Difficulté 4)
387. TOP 10 des buteurs de Aston Villa entre 2010-2015 (Palier 78, Position 2, Difficulté 4)
388. TOP 10 des joueurs avec le plus de minutes de Dortmund entre 2015-2020 (Palier 78, Position 3, Difficulté 4)
389. TOP 10 des joueurs avec le plus de minutes de Atalanta entre 2020-2024 (Palier 78, Position 4, Difficulté 4)
390. TOP 10 des joueurs avec le plus de minutes de Dortmund entre 2020-2024 (Palier 78, Position 5, Difficulté 4)
391. TOP 10 du Ballon d'Or 2006 (Palier 79, Position 1, Difficulté 4)
392. TOP 10 des buteurs de Villarreal entre 2005-2010 (Palier 79, Position 2, Difficulté 4)
393. TOP 10 des buteurs de Roma entre 2010-2015 (Palier 79, Position 3, Difficulté 4)
394. TOP 10 des buteurs de Milan entre 2005-2010 (Palier 79, Position 4, Difficulté 4)
395. TOP 10 des buteurs de Leverkusen entre 2005-2010 (Palier 79, Position 5, Difficulté 4)
396. TOP 10 du Ballon d'Or 2005 (Palier 80, Position 1, Difficulté 4)
397. TOP 10 du Ballon d'Or 2007 (Palier 80, Position 2, Difficulté 4)
398. TOP 10 des joueurs avec le plus de minutes de Villarreal entre 2020-2024 (Palier 80, Position 3, Difficulté 4)
399. TOP 10 du Ballon d'Or 2009 (Palier 80, Position 4, Difficulté 4)
400. TOP 10 des passeurs de Villarreal entre 2010-2015 (Palier 80, Position 5, Difficulté 4)
401. TOP 10 des passeurs de Juventus entre 2010-2015 (Palier 81, Position 1, Difficulté 4)
402. TOP 10 des passeurs de Roma entre 2005-2010 (Palier 81, Position 2, Difficulté 4)
403. TOP 10 des buteurs de Atletico Madrid entre 2005-2010 (Palier 81, Position 3, Difficulté 4)
404. TOP 10 des joueurs avec le plus de minutes de Lazio entre 2015-2020 (Palier 81, Position 4, Difficulté 4)
405. TOP 10 des buteurs de Aston Villa entre 2005-2010 (Palier 81, Position 5, Difficulté 4)
406. TOP 10 des passeurs de Lazio entre 2010-2015 (Palier 82, Position 1, Difficulté 4)
407. TOP 10 des joueurs avec le plus de minutes de Lazio entre 2020-2024 (Palier 82, Position 2, Difficulté 4)
408. TOP 10 des joueurs avec le plus de minutes de Villarreal entre 2015-2020 (Palier 82, Position 3, Difficulté 4)
409. TOP 10 des milieux de terrain avec le plus de passes décisives de Bundesliga entre 2015-2020 (Palier 82, Position 4, Difficulté 4)
410. TOP 10 des joueurs avec le plus de minutes de Napoli entre 2020-2024 (Palier 82, Position 5, Difficulté 4)
411. TOP 10 des passeurs de Dortmund entre 2010-2015 (Palier 83, Position 1, Difficulté 4)
412. TOP 10 des buteurs de Juventus entre 2005-2010 (Palier 83, Position 2, Difficulté 4)
413. TOP 10 des buteurs de Ligue 1 entre 2005-2010 (Palier 83, Position 3, Difficulté 4)
414. TOP 10 des joueurs avec le plus de minutes de Atletico Madrid entre 2020-2024 (Palier 83, Position 4, Difficulté 4)
415. TOP 10 des buteurs de Ligue 1 entre 2010-2015 (Palier 83, Position 5, Difficulté 4)
416. TOP 10 des buteurs de Lazio entre 2010-2015 (Palier 84, Position 1, Difficulté 4)
417. TOP 10 des joueurs avec le plus de minutes de Atalanta entre 2015-2020 (Palier 84, Position 2, Difficulté 4)
418. TOP 10 du Ballon d'Or 1997 (Palier 84, Position 3, Difficulté 4)
419. TOP 10 du Ballon d'Or 2002 (Palier 84, Position 4, Difficulté 4)
420. TOP 10 des joueurs avec le plus de minutes de Juventus entre 2015-2020 (Palier 84, Position 5, Difficulté 4)
421. TOP 10 des buteurs de Atletico Madrid entre 2010-2015 (Palier 85, Position 1, Difficulté 4)
422. TOP 10 des passeurs de Villarreal entre 2005-2010 (Palier 85, Position 2, Difficulté 4)
423. TOP 10 des buteurs de Dortmund entre 2005-2010 (Palier 85, Position 3, Difficulté 4)
424. TOP 10 des buteurs de Juventus entre 2010-2015 (Palier 85, Position 4, Difficulté 4)
425. TOP 10 des passeurs de Napoli entre 2010-2015 (Palier 85, Position 5, Difficulté 4)
426. TOP 10 des joueurs avec le plus de minutes de Milan entre 2020-2024 (Palier 86, Position 1, Difficulté 4)
427. TOP 10 des passeurs de Atletico Madrid entre 2005-2010 (Palier 86, Position 2, Difficulté 4)
428. TOP 10 des passeurs de Serie A entre 2010-2015 (Palier 86, Position 3, Difficulté 4)
429. TOP 10 des passeurs de Dortmund entre 2005-2010 (Palier 86, Position 4, Difficulté 4)
430. TOP 10 des buteurs de Atalanta entre 2010-2015 (Palier 86, Position 5, Difficulté 4)
431. TOP 10 du Ballon d'Or 2001 (Palier 87, Position 1, Difficulté 4)
432. TOP 10 des buteurs de Leverkusen entre 2010-2015 (Palier 87, Position 2, Difficulté 4)
433. TOP 10 des passeurs de Atalanta entre 2010-2015 (Palier 87, Position 3, Difficulté 4)
434. TOP 10 des buteurs de Napoli entre 2005-2010 (Palier 87, Position 4, Difficulté 4)
435. TOP 10 des passeurs de Milan entre 2010-2015 (Palier 87, Position 5, Difficulté 4)
436. TOP 10 des buteurs de Dortmund entre 2010-2015 (Palier 88, Position 1, Difficulté 4)
437. TOP 10 des buteurs de Leipzig entre 2010-2015 (Palier 88, Position 2, Difficulté 4)
438. TOP 10 des buteurs de Leipzig entre 2005-2010 (Palier 88, Position 3, Difficulté 4)
439. TOP 10 des passeurs de Leipzig entre 2010-2015 (Palier 88, Position 4, Difficulté 4)
440. TOP 10 des buteurs de Milan entre 2010-2015 (Palier 88, Position 5, Difficulté 4)
441. TOP 10 du Ballon d'Or 1999 (Palier 89, Position 1, Difficulté 4)
442. TOP 10 du Ballon d'Or 1990 (Palier 89, Position 2, Difficulté 4)
443. TOP 10 des joueurs avec le plus de minutes de Milan entre 2015-2020 (Palier 89, Position 3, Difficulté 4)
444. TOP 10 du Ballon d'Or 2000 (Palier 89, Position 4, Difficulté 4)
445. TOP 10 des passeurs de Napoli entre 2005-2010 (Palier 89, Position 5, Difficulté 4)
446. TOP 10 du Ballon d'Or 1991 (Palier 90, Position 1, Difficulté 4)
447. TOP 10 des buteurs de Lazio entre 2005-2010 (Palier 90, Position 2, Difficulté 4)
448. TOP 10 du Ballon d'Or 1996 (Palier 90, Position 3, Difficulté 4)
449. TOP 10 des passeurs de Roma entre 2010-2015 (Palier 90, Position 4, Difficulté 4)
450. TOP 10 des passeurs de Aston Villa entre 2010-2015 (Palier 90, Position 5, Difficulté 4)
451. TOP 10 des buteurs de Serie A entre 2005-2010 (Palier 91, Position 1, Difficulté 4)
452. TOP 10 du Ballon d'Or 1992 (Palier 91, Position 2, Difficulté 4)
453. TOP 10 des joueurs avec le plus de minutes de Aston Villa entre 2015-2020 (Palier 91, Position 3, Difficulté 4)
454. TOP 10 des milieux de terrain avec le plus de passes décisives de Ligue 1 entre 2015-2020 (Palier 91, Position 4, Difficulté 4)
455. TOP 10 des buteurs de Roma entre 2005-2010 (Palier 91, Position 5, Difficulté 4)
456. TOP 10 du Ballon d'Or 1993 (Palier 92, Position 1, Difficulté 4)
457. TOP 10 des passeurs de Serie A entre 2005-2010 (Palier 92, Position 2, Difficulté 4)
458. TOP 10 des joueurs avec le plus de minutes de Leverkusen entre 2015-2020 (Palier 92, Position 3, Difficulté 4)
459. TOP 10 du Ballon d'Or 1998 (Palier 92, Position 4, Difficulté 4)
460. TOP 10 des joueurs avec le plus de minutes de Roma entre 2015-2020 (Palier 92, Position 5, Difficulté 4)
461. TOP 10 des joueurs avec le plus de minutes de Juventus entre 2020-2024 (Palier 93, Position 1, Difficulté 4)
462. TOP 10 des passeurs de Ligue 1 entre 2005-2010 (Palier 93, Position 2, Difficulté 4)
463. TOP 10 des passeurs de Bundesliga entre 2005-2010 (Palier 93, Position 3, Difficulté 4)
464. TOP 10 du Ballon d'Or 1994 (Palier 93, Position 4, Difficulté 4)
465. TOP 10 des buteurs de Bundesliga entre 2005-2010 (Palier 93, Position 5, Difficulté 4)
466. TOP 10 des passeurs de Atletico Madrid entre 2010-2015 (Palier 94, Position 1, Difficulté 4)
467. TOP 10 des buteurs de Villarreal entre 2010-2015 (Palier 94, Position 2, Difficulté 4)
468. TOP 10 des joueurs avec le plus de minutes de Napoli entre 2015-2020 (Palier 94, Position 3, Difficulté 4)
469. TOP 10 des passeurs de Lazio entre 2005-2010 (Palier 94, Position 4, Difficulté 4)
470. TOP 10 des joueurs avec le plus de minutes de Leipzig entre 2015-2020 (Palier 94, Position 5, Difficulté 4)
471. TOP 10 des milieux de terrain avec le plus de passes décisives de Serie A entre 2015-2020 (Palier 95, Position 1, Difficulté 4)
472. TOP 10 du Ballon d'Or 2003 (Palier 95, Position 2, Difficulté 4)
473. TOP 10 des passeurs de Leipzig entre 2005-2010 (Palier 95, Position 3, Difficulté 4)
474. TOP 10 des buteurs de Bundesliga entre 2010-2015 (Palier 95, Position 4, Difficulté 4)
475. TOP 10 des passeurs de Milan entre 2005-2010 (Palier 95, Position 5, Difficulté 4)
476. TOP 10 des passeurs de Ligue 1 entre 2010-2015 (Palier 96, Position 1, Difficulté 4)
477. TOP 10 des buteurs de la CAN 2017 (Palier 96, Position 2, Difficulté 4)
478. TOP 10 des buteurs de Atalanta entre 2005-2010 (Palier 96, Position 3, Difficulté 4)
479. TOP 10 du Ballon d'Or 1995 (Palier 96, Position 4, Difficulté 4)
480. TOP 10 des passeurs de Atalanta entre 2005-2010 (Palier 96, Position 5, Difficulté 4)
481. TOP 10 des passeurs de Leverkusen entre 2010-2015 (Palier 97, Position 1, Difficulté 4)
482. TOP 10 du Ballon d'Or 2008 (Palier 97, Position 2, Difficulté 4)
